Biological_String,CL_Code
neuron associated cell (sensu Nematoda and Protostomia),CL:0000130
gut endothelial cell,CL:0000131
corneal endothelial cell,CL:0000132
neurectodermal cell,CL:0000133
mesenchymal stem cell,CL:0000134
circulating fibrocyte,CL:0000135
adipocyte,CL:0000136
osteocyte,CL:0000137
chondrocyte,CL:0000138
odontocyte,CL:0000140
cementocyte,CL:0000141
hyalocyte,CL:0000142
guidepost cell,CL:0000143
obsolete cell by function,CL:0000144
professional antigen presenting cell,CL:0000145
simple columnar epithelial cell,CL:0000146
pigment cell,CL:0000147
melanocyte,CL:0000148
visual pigment cell,CL:0000149
glandular secretory epithelial cell,CL:0000150
secretory cell,CL:0000151
exocrine cell,CL:0000152
glycosaminoglycan secreting cell,CL:0000153
protein secreting cell,CL:0000154
peptic cell,CL:0000155
obsolete antibody secreting cell,CL:0000156
surfactant secreting cell,CL:0000157
club cell,CL:0000158
seromucus secreting cell,CL:0000159
goblet cell,CL:0000160
obsolete acid secreting cell,CL:0000161
parietal cell,CL:0000162
endocrine cell,CL:0000163
enteroendocrine cell,CL:0000164
neuroendocrine cell,CL:0000165
chromaffin cell,CL:0000166
peptide hormone secreting cell,CL:0000167
insulin secreting cell,CL:0000168
type B pancreatic cell,CL:0000169
glucagon secreting cell,CL:0000170
pancreatic A cell,CL:0000171
somatostatin secreting cell,CL:0000172
pancreatic D cell,CL:0000173
steroid hormone secreting cell,CL:0000174
luteal cell,CL:0000175
ecdysteroid secreting cell,CL:0000176
testosterone secreting cell,CL:0000177
Leydig cell,CL:0000178
progesterone secreting cell,CL:0000179
estradiol secreting cell,CL:0000180
obsolete metabolising cell,CL:0000181
hepatocyte,CL:0000182
contractile cell,CL:0000183
myoepithelial cell,CL:0000185
myofibroblast cell,CL:0000186
muscle cell,CL:0000187
cell of skeletal muscle,CL:0000188
slow muscle cell,CL:0000189
fast muscle cell,CL:0000190
smooth muscle cell,CL:0000192
cardiac muscle cell (sensu Arthopoda),CL:0000193
obsolete nodal cardiac cell,CL:0000194
obsolete Purkinje fiber,CL:0000195
insect flight muscle cell,CL:0000196
sensory receptor cell,CL:0000197
pain receptor cell,CL:0000198
mechanoreceptor cell,CL:0000199
touch receptor cell,CL:0000200
auditory hair cell,CL:0000202
gravity sensitive cell,CL:0000203
acceleration receptive cell,CL:0000204
thermoreceptor cell,CL:0000205
chemoreceptor cell,CL:0000206
olfactory receptor cell,CL:0000207
pH receptor cell,CL:0000208
taste receptor cell,CL:0000209
photoreceptor cell,CL:0000210
electrically active cell,CL:0000211
obsolete absorptive cell,CL:0000212
obsolete lining cell,CL:0000213
synovial cell,CL:0000214
obsolete barrier cell,CL:0000215
Sertoli cell,CL:0000216
obsolete insulating cell,CL:0000217
myelinating Schwann cell,CL:0000218
motile cell,CL:0000219
obsolete cell by lineage,CL:0000220
ectodermal cell,CL:0000221
mesodermal cell,CL:0000222
endodermal cell,CL:0000223
obsolete cell by nuclear number,CL:0000224
anucleate cell,CL:0000225
single nucleate cell,CL:0000226
binucleate cell,CL:0000227
multinucleate cell,CL:0000228
obsolete lymphoblast,CL:0000229
obsolete T lymphoblast,CL:0000230
obsolete B lymphoblast,CL:0000231
erythrocyte,CL:0000232
platelet,CL:0000233
phagocyte,CL:0000234
macrophage,CL:0000235
B cell,CL:0000236
keratinizing barrier epithelial cell,CL:0000237
non keratinizing barrier epithelial cell,CL:0000238
brush border epithelial cell,CL:0000239
stratified squamous epithelial cell,CL:0000240
stratified cuboidal epithelial cell,CL:0000241
Merkel cell,CL:0000242
obsolete glial cell (sensu Vertebrata),CL:0000243
transitional epithelial cell,CL:0000244
obsolete passage cell,CL:0000245
Mauthner neuron,CL:0000246
Rohon-Beard neuron,CL:0000247
obsolete microsporocyte,CL:0000248
hatching gland cell,CL:0000249
obsolete megaspore,CL:0000250
extramedullary cell,CL:0000251
obsolete microspore,CL:0000252
eurydendroid cell,CL:0000253
obsolete egg cell,CL:0000254
eukaryotic cell,CL:0000255
uric acid accumulating cell,CL:0000256
Eumycetozoan cell,CL:0000257
obsolete fiber tracheid,CL:0000258
obsolete aggregate cell,CL:0000259
obsolete mucilage cell,CL:0000260
obsolete anterior cell,CL:0000261
obsolete guard mother cell,CL:0000262
obsolete vegetative cell (sensu Mycetozoa),CL:0000263
obsolete phloem initial,CL:0000264
obsolete anterior like cell,CL:0000265
obsolete meristemoid,CL:0000266
obsolete prespore cell,CL:0000267
obsolete sieve element,CL:0000268
obsolete prestalk cell,CL:0000269
obsolete subsidiary cell,CL:0000270
obsolete prestalk A cell,CL:0000271
obsolete cambial initial,CL:0000272
obsolete prestalk AB cell,CL:0000273
obsolete prestalk B cell,CL:0000275
obsolete sclerenchyma cell,CL:0000276
obsolete prestalk I cell,CL:0000277
obsolete central cell,CL:0000278
obsolete prestalk 0 cell,CL:0000279
obsolete generative cell,CL:0000280
obsolete pstAB/ALC,CL:0000281
obsolete trichome,CL:0000282
obsolete pstO/ALC,CL:0000283
obsolete companion cell,CL:0000284
obsolete stalk cell,CL:0000285
hyphal cell,CL:0000286
eye photoreceptor cell,CL:0000287
obsolete synergid,CL:0000288
obsolete chemotactic amoeboid cell (sensu Mycetozoa),CL:0000289
obsolete xylem fiber cell,CL:0000290
obsolete spore (sensu Mycetozoa),CL:0000291
obsolete guard cell,CL:0000292
obsolete structural cell,CL:0000293
obsolete sieve cell,CL:0000294
somatotropin secreting cell,CL:0000295
obsolete vegetative cell,CL:0000296
obsolete socket cell,CL:0000297
obsolete xylem element,CL:0000298
obsolete trichoblast,CL:0000299
gamete,CL:0000300
pole cell,CL:0000301
obsolete IgM B cell,CL:0000302
obsolete IgG B cell,CL:0000303
obsolete IgA B cell,CL:0000304
obsolete IgE B cell,CL:0000305
crystallin accumulating cell,CL:0000306
tracheal epithelial cell,CL:0000307
metal ion accumulating cell,CL:0000308
copper accumulating cell,CL:0000309
iron accumulating cell,CL:0000310
keratin accumulating cell,CL:0000311
keratinocyte,CL:0000312
serous secreting cell,CL:0000313
milk secreting cell,CL:0000314
tear secreting cell,CL:0000315
obsolete ray initial,CL:0000316
sebocyte,CL:0000317
sweat secreting cell,CL:0000318
mucus secreting cell,CL:0000319
obsolete megasporocyte,CL:0000320
obsolete seminal fluid secreting cell,CL:0000321
pulmonary alveolar epithelial cell,CL:0000322
lysozyme secreting cell,CL:0000323
metanephric mesenchyme stem cell,CL:0000324
stuff accumulating cell,CL:0000325
glycogen accumulating cell,CL:0000326
extracellular matrix secreting cell,CL:0000327
oxygen accumulating cell,CL:0000329
obsolete collenchymal cell,CL:0000330
obsolete tracheid,CL:0000331
obsolete atrichoblast,CL:0000332
migratory neural crest cell,CL:0000333
vegetative cell (sensu Fungi),CL:0000334
mesenchyme condensation cell,CL:0000335
adrenal medulla chromaffin cell,CL:0000336
neuroblast (sensu Nematoda and Protostomia),CL:0000338
glioblast (sensu Vertebrata),CL:0000339
glioblast (sensu Nematoda and Protostomia),CL:0000340
pigment cell (sensu Nematoda and Protostomia),CL:0000341
pigment cell (sensu Vertebrata),CL:0000342
visual pigment cell (sensu Vertebrata),CL:0000343
obsolete non-visual cell (sensu Vertebrata),CL:0000344
dental papilla cell,CL:0000345
hair follicle dermal papilla cell,CL:0000346
scleral cell,CL:0000347
choroidal cell of the eye,CL:0000348
extraembryonic cell,CL:0000349
amnioserosal cell,CL:0000350
trophoblast cell,CL:0000351
epiblast cell,CL:0000352
blastoderm cell,CL:0000353
blastemal cell,CL:0000354
multi-potent skeletal muscle stem cell,CL:0000355
hair matrix stem cell,CL:0000356
stratified epithelial stem cell,CL:0000357
sphincter associated smooth muscle cell,CL:0000358
vascular associated smooth muscle cell,CL:0000359
morula cell,CL:0000360
gastrula cell,CL:0000361
epidermal cell,CL:0000362
obsolete axial cell,CL:0000363
obsolete ray cell,CL:0000364
animal zygote,CL:0000365
obsolete sperm cell (sensu Viridiplantae),CL:0000366
sheath cell (sensu Nematoda),CL:0000367
obsolete myrosin cell,CL:0000368
obsolete transfer cell,CL:0000370
protoplast,CL:0000371
tormogen cell,CL:0000372
histoblast,CL:0000373
trichogen cell,CL:0000374
obsolete osteoprogenitor cell,CL:0000375
humidity receptor cell,CL:0000376
tracheoblast,CL:0000377
supporting cell (sensu Nematoda and Protostomia),CL:0000378
sensory processing neuron,CL:0000379
thecogen cell,CL:0000380
obsolete neurosecretory neuron,CL:0000381
scolopale cell,CL:0000382
nephrogenic mesenchyme stem cell,CL:0000383
ligament cell,CL:0000384
prohemocyte (sensu Nematoda and Protostomia),CL:0000385
obsolete attachment cell,CL:0000386
hemocyte (sensu Arthropoda),CL:0000387
tendon cell,CL:0000388
socket cell (sensu Nematoda),CL:0000389
blood cell (sensu Nematoda and Protostomia),CL:0000390
obsolete podocyte (sensu Diptera),CL:0000391
crystal cell,CL:0000392
electrically responsive cell,CL:0000393
plasmatocyte,CL:0000394
procrystal cell,CL:0000395
lamellocyte,CL:0000396
ganglion interneuron,CL:0000397
obsolete polygonal cell,CL:0000398
obsolete phloem element,CL:0000399
obsolete pavement cell,CL:0000400
obsolete macrophage (sensu Diptera),CL:0000401
obsolete CNS interneuron,CL:0000402
electrically signaling cell,CL:0000404
obsolete neuroepidermoblast,CL:0000405
CNS short range interneuron,CL:0000406
scolopidial ligament cell,CL:0000407
male gamete,CL:0000408
obsolete scolopidial sheath cell,CL:0000409
CNS long range interneuron,CL:0000410
Caenorhabditis hypodermal cell,CL:0000411
polyploid cell,CL:0000412
haploid cell,CL:0000413
obsolete cell by ploidy,CL:0000414
diploid cell,CL:0000415
polytene cell,CL:0000416
endopolyploid cell,CL:0000417
arcade cell,CL:0000418
seam cell,CL:0000419
syncytial epithelial cell,CL:0000420
coelomocyte,CL:0000421
mitogenic signaling cell,CL:0000422
tip cell,CL:0000423
excretory cell,CL:0000424
pore cell,CL:0000425
obsolete scaffold cell,CL:0000426
GLR cell,CL:0000427
yolk cell,CL:0000428
imaginal disc cell,CL:0000429
xanthophore cell,CL:0000430
iridophore,CL:0000431
reticular cell,CL:0000432
obsolete functional megaspore,CL:0000433
eccrine cell,CL:0000434
alkali secreting cell,CL:0000435
vaginal lubricant secreting cell,CL:0000436
gonadtroph,CL:0000437
luteinizing hormone secreting cell,CL:0000438
prolactin secreting cell,CL:0000439
melanocyte stimulating hormone secreting cell,CL:0000440
follicle stem cell (sensu Arthropoda),CL:0000441
follicular dendritic cell,CL:0000442
calcitonin secreting cell,CL:0000443
obliquely striated muscle cell,CL:0000444
apoptosis fated cell,CL:0000445
chief cell of parathyroid gland,CL:0000446
carbohydrate secreting cell,CL:0000447
white adipocyte,CL:0000448
brown adipocyte,CL:0000449
dendritic cell,CL:0000451
obsolete thyroid hormone secreting cell,CL:0000452
Langerhans cell,CL:0000453
epinephrine secreting cell,CL:0000454
obsolete starch sheath cell,CL:0000455
mineralocorticoid secreting cell,CL:0000456
biogenic amine secreting cell,CL:0000457
serotonin secreting cell,CL:0000458
noradrenergic cell,CL:0000459
glucocorticoid secreting cell,CL:0000460
adepithelial cell,CL:0000462
epidermal cell (sensu Arthropoda),CL:0000463
epidermoblast,CL:0000464
cardioblast (sensu Arthropoda),CL:0000465
adrenocorticotropic hormone secreting cell,CL:0000467
neuroglioblast (sensu Nematoda and Protostomia),CL:0000468
ganglion mother cell,CL:0000469
digestive enzyme secreting cell,CL:0000470
obsolete chlorenchyma cell,CL:0000472
OBSOLETE defensive cell,CL:0000473
pericardial nephrocyte,CL:0000474
obsolete degenerate megaspore,CL:0000475
thyrotroph,CL:0000476
follicle cell of egg chamber,CL:0000477
oxytocin stimulating hormone secreting cell,CL:0000478
vasopressin stimulating hormone secreting cell,CL:0000479
secretin stimulating hormone secreting cell,CL:0000480
cholecystokin stimulating hormone secreting cell,CL:0000481
juvenile hormone secreting cell,CL:0000482
bombesin stimulating hormone secreting cell,CL:0000483
connective tissue type mast cell,CL:0000484
mucosal type mast cell,CL:0000485
garland cell,CL:0000486
oenocyte,CL:0000487
visible light photoreceptor cell,CL:0000488
scotopic photoreceptor cell,CL:0000489
photopic photoreceptor cell,CL:0000490
obsolete cytotoxic T cell,CL:0000491
CD4-positive helper T cell,CL:0000492
obsolete regulatory T cell,CL:0000493
UV sensitive photoreceptor cell,CL:0000494
blue sensitive photoreceptor cell,CL:0000495
green sensitive photoreceptor cell,CL:0000496
red sensitive photoreceptor cell,CL:0000497
inhibitory interneuron,CL:0000498
stromal cell,CL:0000499
follicular epithelial cell,CL:0000500
granulosa cell,CL:0000501
type D enteroendocrine cell,CL:0000502
theca cell,CL:0000503
enterochromaffin-like cell,CL:0000504
substance P secreting cell,CL:0000505
enkephalin secreting cell,CL:0000506
endorphin secreting cell,CL:0000507
type G enteroendocrine cell,CL:0000508
gastrin secreting cell,CL:0000509
paneth cell,CL:0000510
androgen binding protein secreting cell,CL:0000511
obsolete paracrine cell,CL:0000512
cardiac muscle myoblast,CL:0000513
smooth muscle myoblast,CL:0000514
skeletal muscle myoblast,CL:0000515
perineuronal satellite cell,CL:0000516
macrophage derived foam cell,CL:0000517
phagocyte (sensu Vertebrata),CL:0000518
phagocyte (sensu Nematoda and Protostomia),CL:0000519
prokaryotic cell,CL:0000520
fungal cell,CL:0000521
obsolete spore,CL:0000522
mononuclear cytotrophoblast cell,CL:0000523
spheroplast,CL:0000524
syncytiotrophoblast cell,CL:0000525
afferent neuron,CL:0000526
efferent neuron,CL:0000527
nitrergic neuron,CL:0000528
pigmented epithelial cell,CL:0000529
primary neuron (sensu Teleostei),CL:0000530
primary sensory neuron (sensu Teleostei),CL:0000531
CAP motoneuron,CL:0000532
primary motor neuron (sensu Teleostei),CL:0000533
primary interneuron (sensu Teleostei),CL:0000534
secondary neuron (sensu Teleostei),CL:0000535
secondary motor neuron (sensu Teleostei),CL:0000536
obsolete antipodal cell,CL:0000537
obsolete epidermal initial,CL:0000538
obsolete idioblast,CL:0000539
neuron,CL:0000540
melanoblast,CL:0000541
lymphocyte,CL:0000542
obsolete sieve tube member,CL:0000543
slowly adapting mechanoreceptor cell,CL:0000544
T-helper 1 cell,CL:0000545
T-helper 2 cell,CL:0000546
proerythroblast,CL:0000547
obsolete animal cell,CL:0000548
basophilic erythroblast,CL:0000549
polychromatophilic erythroblast,CL:0000550
unimodal nocireceptor,CL:0000551
orthochromatic erythroblast,CL:0000552
megakaryocyte progenitor cell,CL:0000553
gastrin stimulating hormone secreting cell,CL:0000554
obsolete neuronal brush cell,CL:0000555
megakaryocyte,CL:0000556
granulocyte monocyte progenitor cell,CL:0000557
reticulocyte,CL:0000558
promonocyte,CL:0000559
band form neutrophil,CL:0000560
amacrine cell,CL:0000561
nucleate erythrocyte,CL:0000562
endospore,CL:0000563
neutrophilic promyelocyte,CL:0000564
fat body cell,CL:0000565
angioblastic mesenchymal cell,CL:0000566
polymodal nocireceptor,CL:0000567
amine precursor uptake and decarboxylation cell,CL:0000568
cardiac mesenchymal cell,CL:0000569
parafollicular cell,CL:0000570
leucophore,CL:0000571
retinal cone cell,CL:0000573
erythrophore,CL:0000574
corneal epithelial cell,CL:0000575
monocyte,CL:0000576
type EC enteroendocrine cell,CL:0000577
experimentally modified cell in vitro,CL:0000578
border follicle cell,CL:0000579
neutrophilic myelocyte,CL:0000580
peritoneal macrophage,CL:0000581
neutrophilic metamyelocyte,CL:0000582
alveolar macrophage,CL:0000583
enterocyte,CL:0000584
obsolete null cell,CL:0000585
germ cell,CL:0000586
cold sensing thermoreceptor cell,CL:0000587
odontoclast,CL:0000588
cochlear inner hair cell,CL:0000589
small luteal cell,CL:0000590
warmth sensing thermoreceptor cell,CL:0000591
large luteal cell,CL:0000592
androgen secreting cell,CL:0000593
skeletal muscle satellite cell,CL:0000594
enucleate erythrocyte,CL:0000595
sexual spore,CL:0000596
microconidium,CL:0000597
pyramidal neuron,CL:0000598
conidium,CL:0000599
heterokaryon,CL:0000600
cochlear outer hair cell,CL:0000601
pressoreceptor cell,CL:0000602
dikaryon,CL:0000603
retinal rod cell,CL:0000604
fungal asexual spore,CL:0000605
macroconidium,CL:0000606
ascospore,CL:0000607
zygospore,CL:0000608
vestibular hair cell,CL:0000609
obsolete plant cell,CL:0000610
eosinophil progenitor cell,CL:0000611
eosinophilic myelocyte,CL:0000612
basophil progenitor cell,CL:0000613
basophilic myelocyte,CL:0000614
basidiospore,CL:0000615
obsolete sporangiospore,CL:0000616
GABAergic neuron,CL:0000617
sheath cell,CL:0000618
supporting cell (sensu Nematoda),CL:0000619
obsolete zoospore,CL:0000620
fusion competent myoblast,CL:0000621
acinar cell,CL:0000622
natural killer cell,CL:0000623
"CD4-positive, alpha-beta T cell",CL:0000624
"CD8-positive, alpha-beta T cell",CL:0000625
olfactory granule cell,CL:0000626
obsolete transporting cell,CL:0000627
photosynthetic cell,CL:0000628
storage cell,CL:0000629
supporting cell,CL:0000630
labyrinth supporting cell,CL:0000631
hepatic stellate cell,CL:0000632
Hensen cell,CL:0000633
Claudius cell,CL:0000634
Deiter's cell,CL:0000635
Mueller cell,CL:0000636
chromophil cell of anterior pituitary gland,CL:0000637
acidophil cell of pars distalis of adenohypophysis,CL:0000638
basophil cell of pars distalis of adenohypophysis,CL:0000639
chromophobe cell,CL:0000641
folliculostellate cell,CL:0000642
Bergmann glial cell,CL:0000644
pituicyte,CL:0000645
basal cell,CL:0000646
multinucleated giant cell,CL:0000647
kidney granular cell,CL:0000648
spinous cell of epidermis,CL:0000649
mesangial cell,CL:0000650
obsolete mucous neck cell,CL:0000651
pinealocyte,CL:0000652
podocyte,CL:0000653
primary oocyte,CL:0000654
secondary oocyte,CL:0000655
primary spermatocyte,CL:0000656
secondary spermatocyte,CL:0000657
cuticle secreting cell,CL:0000658
eggshell secreting cell,CL:0000659
glycocalyx secreting cell,CL:0000660
distal tip cell (sensu Nematoda),CL:0000661
neuroglioblast (sensu Nematoda),CL:0000662
obsolete valve cell,CL:0000663
obsolete closable valve cell,CL:0000664
obsolete permanently open valve cell,CL:0000665
fenestrated endothelial cell,CL:0000666
collagen secreting cell,CL:0000667
obsolete parenchymal cell,CL:0000668
pericyte,CL:0000669
primordial germ cell,CL:0000670
centripetally migrating follicle cell,CL:0000671
obsolete tracheary element,CL:0000672
Kenyon cell,CL:0000673
interfollicle cell,CL:0000674
female gamete,CL:0000675
cap cell,CL:0000676
gut absorptive cell,CL:0000677
commissural neuron,CL:0000678
glutamatergic neuron,CL:0000679
muscle precursor cell,CL:0000680
radial glial cell,CL:0000681
M cell of gut,CL:0000682
ependymoglial cell,CL:0000683
littoral cell of liver,CL:0000684
obsolete meristematic cell,CL:0000685
cerebrospinal fluid secreting cell,CL:0000686
R1 photoreceptor cell,CL:0000687
perijunctional fibroblast,CL:0000688
myoendocrine cell,CL:0000689
R2 photoreceptor cell,CL:0000690
stellate interneuron,CL:0000691
terminal Schwann cell,CL:0000692
neurogliaform cell,CL:0000693
R3 photoreceptor cell,CL:0000694
Cajal-Retzius cell,CL:0000695
PP cell,CL:0000696
R4 photoreceptor cell,CL:0000697
obsolete paraganglial cell,CL:0000698
paraganglial type 1 cell,CL:0000699
dopaminergic neuron,CL:0000700
paraganglia type 2 cell,CL:0000701
R5 photoreceptor cell,CL:0000702
sustentacular cell,CL:0000703
endothelial tip cell,CL:0000704
R6 photoreceptor cell,CL:0000705
choroid plexus epithelial cell,CL:0000706
R7 photoreceptor cell,CL:0000707
leptomeningeal cell,CL:0000708
R8 photoreceptor cell,CL:0000709
neurecto-epithelial cell,CL:0000710
cumulus granulosa cell,CL:0000711
stratum granulosum cell,CL:0000712
corona radiata cell,CL:0000713
embryonic crystal cell,CL:0000715
lymph gland crystal cell,CL:0000716
obsolete fusimotor neuron,CL:0000717
compound eye cone cell,CL:0000718
posterior cone cell (sensu Endopterygota),CL:0000719
anterior cone cell (sensu Endopterygota),CL:0000720
equatorial cone cell (sensu Endopterygota),CL:0000721
cystoblast,CL:0000722
somatic stem cell,CL:0000723
heterocyst,CL:0000724
nitrogen fixing cell,CL:0000725
chlamydospore,CL:0000726
obsolete primary pigment cell,CL:0000727
obsolete secondary pigment cell,CL:0000728
obsolete tertiary pigment cell,CL:0000729
leading edge cell,CL:0000730
urothelial cell,CL:0000731
amoeboid cell,CL:0000732
lymph gland plasmatocyte,CL:0000733
obsolete embryonic gland plasmatocyte,CL:0000734
lymph gland hemocyte,CL:0000735
obsolete embryonic gland hemocyte,CL:0000736
striated muscle cell,CL:0000737
leukocyte,CL:0000738
retinal ganglion cell,CL:0000740
spinal accessory motor neuron,CL:0000741
periarticular chondrocyte,CL:0000742
hypertrophic chondrocyte,CL:0000743
columnar chondrocyte,CL:0000744
retina horizontal cell,CL:0000745
cardiac muscle cell,CL:0000746
cyanophore,CL:0000747
retinal bipolar neuron,CL:0000748
ON-bipolar cell,CL:0000749
OFF-bipolar cell,CL:0000750
rod bipolar cell,CL:0000751
cone retinal bipolar cell,CL:0000752
type 1 cone bipolar cell (sensu Mus),CL:0000753
type 2 cone bipolar cell (sensu Mus),CL:0000754
type 3 cone bipolar cell (sensu Mus),CL:0000755
type 4 cone bipolar cell (sensu Mus),CL:0000756
type 5 cone bipolar cell (sensu Mus),CL:0000757
type 6 cone bipolar cell (sensu Mus),CL:0000758
type 7 cone bipolar cell (sensu Mus),CL:0000759
type 8 cone bipolar cell (sensu Mus),CL:0000760
type 9 cone bipolar cell (sensu Mus),CL:0000761
nucleated thrombocyte,CL:0000762
myeloid cell,CL:0000763
erythroid lineage cell,CL:0000764
erythroblast,CL:0000765
myeloid leukocyte,CL:0000766
basophil,CL:0000767
immature basophil,CL:0000768
basophilic metamyelocyte,CL:0000769
band form basophil,CL:0000770
eosinophil,CL:0000771
immature eosinophil,CL:0000772
eosinophilic metamyelocyte,CL:0000773
band form eosinophil,CL:0000774
neutrophil,CL:0000775
immature neutrophil,CL:0000776
mesangial phagocyte,CL:0000777
mononuclear osteoclast,CL:0000778
multinuclear osteoclast,CL:0000779
multinuclear odontoclast,CL:0000780
mononuclear odontoclast,CL:0000781
myeloid dendritic cell,CL:0000782
multinucleated phagocyte,CL:0000783
plasmacytoid dendritic cell,CL:0000784
mature B cell,CL:0000785
plasma cell,CL:0000786
memory B cell,CL:0000787
naive B cell,CL:0000788
alpha-beta T cell,CL:0000789
immature alpha-beta T cell,CL:0000790
mature alpha-beta T cell,CL:0000791
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000792
"CD4-positive, alpha-beta intraepithelial T cell",CL:0000793
"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794
"CD8-positive, alpha-beta regulatory T cell",CL:0000795
"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",CL:0000796
alpha-beta intraepithelial T cell,CL:0000797
gamma-delta T cell,CL:0000798
immature gamma-delta T cell,CL:0000799
mature gamma-delta T cell,CL:0000800
gamma-delta intraepithelial T cell,CL:0000801
"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",CL:0000802
CD4-negative CD8-negative gamma-delta intraepithelial T cell,CL:0000803
immature single positive thymocyte,CL:0000805
DN2 thymocyte,CL:0000806
DN3 thymocyte,CL:0000807
DN4 thymocyte,CL:0000808
"double-positive, alpha-beta thymocyte",CL:0000809
"CD4-positive, alpha-beta thymocyte",CL:0000810
"CD8-positive, alpha-beta thymocyte",CL:0000811
memory T cell,CL:0000813
mature NK T cell,CL:0000814
regulatory T cell,CL:0000815
immature B cell,CL:0000816
precursor B cell,CL:0000817
transitional stage B cell,CL:0000818
B-1 B cell,CL:0000819
